gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
CTA2,3275.7508633108655,-0.0054661095700873,0.03635480839465826,0.4443887138776475,0.903593008115074
TUP1,3692.572718916901,-0.00892749878762485,0.03652050202905973,0.3698881973176918,0.8923716317195922
MVD,9621.428842146604,-0.00506456817462253,0.03675214087325886,0.2532267419815407,0.8627425717583851
RCA1,672.8391123210445,-0.01329700212714152,0.03888103861624732,0.13721164491266535,0.8465172436832317
CCT8,12651.29541977846,-0.00731922342240432,0.03683380322959521,0.15370845681369022,0.84788342586634
TRP1,2380.310636904559,0.01009224370371517,0.03600188718095149,0.4021393629294635,0.8948197471119627
VPS53,2720.9744112745066,-0.00725975808405957,0.03495602579305345,0.5882661272532497,0.9413076012391988
KEL1,2263.7696657290094,-0.02737871162759097,0.04994071985776305,0.03246139209821452,0.6881126897427171
RIM8,568.0149595643385,-0.01342547743715822,0.03935760023128553,0.07396197027510308,0.7939576646694817
LEU4,1939.959125101295,-0.01753991458224041,0.04121204777715947,0.08283469822870802,0.8087421536344298
RPL16A,146073.17875781842,-0.00108101455745568,0.02831870916991666,0.6935129491541359,0.9589720598846504
PHR2,27844.01894839872,-0.01049143627512715,0.03691447553156019,0.3211296863304708,0.8809738599473261
BFA1,1448.2911410194183,0.00633562115834679,0.03270827150218355,0.6818590798773653,0.9566119317549846
RFC52,0,NA,NA,NA,NA
POL93,1102.542757139972,4.46123136680275e-4,0.03633737720120487,0.9030014648955076,0.986889323010476
PNS1,2367.7672860337193,-0.02084113184798021,0.04036382059701568,0.12530073165479155,0.8465172436832317
HBR1,4077.48679632154,0.01562902611618748,0.0376264467109196,0.2594356038776595,0.8627425717583851
HMX1,3109.045595940682,6.882272535108903e-4,0.03488996435832037,0.9382774745695568,0.99346458718535
CDC13,888.7618378466901,0.01166240984509432,0.03593161867799671,0.3858617556973088,0.8923716317195922
NAA25,3006.0087630928483,0.05536587919695395,0.06379949268946829,0.03738367943398521,0.7211083373777405
ENA2,5736.8285432722205,-0.03318452757481433,0.04527974056605254,0.08019345979009686,0.8004668307500682
SVF1,11233.817399744112,0.21106745345977,0.08614594572734083,6.385804078701061e-4,0.05320616481684397
ATG18,1654.9001555888815,-0.01048290103233652,0.03591530285677696,0.41292600410969926,0.8984719591303035
UBP6,8137.326333717107,0.01218402500888724,0.03470320018037612,0.4080158609271509,0.8984288049256888
GCN20,11644.733154618603,0.0162647755993471,0.03666876958604032,0.32802119688076503,0.8833686366001909
TTR1,3335.7571487006335,0.01078321321341236,0.03678188174939451,0.3359956949386088,0.8849166770163892
GLO1,5742.890617876211,0.03188976765011806,0.05119189013672983,0.08292475725564555,0.8087421536344298
CIS2,1623.0520460465225,-0.02381907340407329,0.03869241473084982,0.18999670025774215,0.84788342586634
CNS1,3788.802601134726,0.00204252662283947,0.02987664663270535,0.8698618781059511,0.9845001225932988
TUF1,36206.263714680186,-0.01295619262699878,0.03801552184153737,0.22737847798565175,0.8539382004725162
APC1,5561.847111727705,-0.01780745437828593,0.03220462766752953,0.35933077384623086,0.8923716317195922
PSD1,6790.717795581262,-6.689947356350211e-4,0.0357074601168835,0.9202398209743474,0.9901203437862884
MOB2,2129.4420846985395,8.555932210599378e-4,0.03301027934135808,0.9526662182648624,0.9946514032011518
RPO41,22748.799390775956,-0.06433727457840023,0.05118812966408814,0.02413642995432511,0.6350633477894576
SNF7,3294.9622505083507,0.0032906822978851,0.03361686709868342,0.8486012749888283,0.9837843748679548
UGA32,865.74980335712,-0.00511113275121969,0.03355341873450038,0.7236347972908603,0.966565940458824
ASM3,475.1922713845973,0.00356068088037567,0.03336532965418565,0.7992459575366988,0.9785075087566634
